Order ID,Order Date,Delivery Date,Cancel Date,Customer ID,Product ID,Region,Sale Price/Unit,Quantity,Total Amount,Payment Method,Delivery Status,Fulfillment Partner
ORD0032,6/15/2023,,6/22/2023,CUST037,PROD009,East,11,5,55,Debit Card,Cancelled,FedEx
ORD0033,5/22/2023,5/23/2023,,CUST016,PROD005,South,27,2,54,Apple Pay,Delivered,USPS
ORD0034,11/20/2023,,,CUST025,PROD015,South,21,1,21,Amazon Pay,In Transit,DHL
ORD0035,12/22/2023,12/26/2023,,CUST032,PROD011,South,172,1,172,PayPal,Delivered,USPS
ORD0036,7/23/2023,,,CUST014,PROD016,North,212,3,636,Amazon Pay,In Transit,UPS
ORD0037,10/17/2023,10/22/2023,,CUST044,PROD002,East,41,4,164,Credit Card,Delivered,Amazon Logistics
ORD0038,8/22/2023,,8/24/2023,CUST028,PROD007,North,32,2,64,Debit Card,Cancelled,FedEx
ORD0039,12/2/2023,,,CUST024,PROD022,East,66,2,132,Apple Pay,In Transit,DHL
ORD0040,12/25/2023,,,CUST006,PROD004,East,62,4,248,Debit Card,In Transit,UPS
ORD0041,9/23/2023,9/30/2023,,CUST001,PROD011,West,173,4,692,Apple Pay,Delivered,UPS
ORD0042,7/16/2023,7/18/2023,,CUST007,PROD004,West,63,3,189,Apple Pay,Delivered,UPS
ORD0043,2/5/2023,,2/11/2023,CUST040,PROD021,West,36,3,108,Debit Card,Cancelled,USPS
ORD0044,12/18/2023,,12/23/2023,CUST006,PROD004,Central,62,1,62,Apple Pay,Cancelled,Amazon Logistics
ORD0045,6/11/2023,,6/14/2023,CUST042,PROD003,Central,137,5,685,Amazon Pay,Cancelled,FedEx
ORD0046,12/4/2023,12/8/2023,,CUST039,PROD017,North,73,4,292,Credit Card,Delivered,Amazon Logistics
ORD0047,7/17/2023,7/19/2023,,CUST041,PROD020,North,104,1,104,PayPal,Delivered,Amazon Logistics
ORD0048,10/19/2023,10/24/2023,,CUST044,PROD006,East,97,1,97,Amazon Pay,Delivered,FedEx
ORD0049,5/15/2023,,,CUST026,PROD017,South,73,5,365,Apple Pay,In Transit,Amazon Logistics
ORD0050,2/12/2023,2/19/2023,,CUST040,PROD005,East,27,3,81,Amazon Pay,Delivered,UPS
ORD0051,10/2/2023,,,CUST041,PROD021,North,37,1,37,Apple Pay,In Transit,UPS
ORD0052,1/30/2023,2/1/2023,,CUST008,PROD015,North,22,1,22,Debit Card,Delivered,FedEx
ORD0053,12/29/2023,1/1/2024,,CUST011,PROD016,Central,218,5,1090,PayPal,Delivered,DHL
ORD0054,3/6/2023,,3/13/2023,CUST018,PROD004,North,64,1,64,Apple Pay,Cancelled,USPS
ORD0055,2/2/2023,2/6/2023,,CUST037,PROD021,Central,36,4,144,PayPal,Delivered,Amazon Logistics
ORD0056,10/18/2023,10/21/2023,,CUST017,PROD004,West,65,1,65,Amazon Pay,Delivered,FedEx
ORD0057,1/7/2023,1/9/2023,,CUST025,PROD005,Central,26,1,26,Apple Pay,Delivered,DHL
ORD0058,5/8/2023,,,CUST021,PROD009,North,11,5,55,Credit Card,In Transit,FedEx
ORD0059,4/2/2023,,4/5/2023,CUST003,PROD013,North,195,4,780,PayPal,Cancelled,FedEx
ORD0060,10/11/2023,,10/12/2023,CUST019,PROD019,West,44,5,220,Apple Pay,Cancelled,USPS
ORD0061,9/10/2023,,,CUST035,PROD008,East,69,4,276,Debit Card,In Transit,DHL
ORD0062,11/22/2023,11/29/2023,,CUST022,PROD001,North,815,4,3260,Credit Card,Delivered,USPS
ORD0063,5/2/2023,,,CUST004,PROD005,East,27,1,27,Debit Card,In Transit,Amazon Logistics
ORD0064,12/25/2023,12/29/2023,,CUST048,PROD003,West,139,5,695,Apple Pay,Delivered,USPS
ORD0065,10/18/2023,,10/20/2023,CUST009,PROD008,South,69,3,207,PayPal,Cancelled,Amazon Logistics
ORD0066,5/20/2023,,5/21/2023,CUST009,PROD019,West,42,1,42,Apple Pay,Cancelled,DHL
ORD0067,7/28/2023,7/30/2023,,CUST050,PROD007,North,31,4,124,Credit Card,Delivered,UPS
ORD0068,12/18/2023,,,CUST045,PROD020,West,104,3,312,Credit Card,In Transit,UPS
ORD0069,7/2/2023,,7/7/2023,CUST044,PROD010,East,58,2,116,Apple Pay,Cancelled,USPS
ORD0070,10/9/2023,,10/10/2023,CUST009,PROD004,West,62,2,124,Debit Card,Cancelled,DHL
ORD0071,12/18/2023,12/25/2023,,CUST006,PROD019,East,43,1,43,Credit Card,Delivered,Amazon Logistics
ORD0072,3/7/2023,,,CUST022,PROD004,East,62,4,248,Debit Card,In Transit,Amazon Logistics
ORD0073,7/22/2023,,7/25/2023,CUST028,PROD006,North,95,2,190,PayPal,Cancelled,UPS
ORD0074,1/18/2023,1/24/2023,,CUST016,PROD021,Central,36,4,144,Apple Pay,Delivered,FedEx
ORD0075,5/24/2023,,,CUST042,PROD017,East,73,5,365,Apple Pay,In Transit,DHL
ORD0076,9/3/2023,9/9/2023,,CUST023,PROD019,North,43,4,172,Debit Card,Delivered,DHL
ORD0077,11/2/2023,11/4/2023,,CUST004,PROD016,West,214,5,1070,Debit Card,Delivered,UPS
ORD0078,12/3/2023,,12/6/2023,CUST048,PROD002,Central,42,2,84,Apple Pay,Cancelled,UPS
ORD0079,4/1/2023,,,CUST048,PROD012,North,46,1,46,Amazon Pay,In Transit,UPS
ORD0080,10/16/2023,10/19/2023,,CUST032,PROD018,East,95,4,380,Credit Card,Delivered,UPS
ORD0081,11/5/2023,,,CUST001,PROD011,West,174,2,348,PayPal,In Transit,UPS
ORD0082,6/15/2023,,6/18/2023,CUST046,PROD005,North,27,5,135,Credit Card,Cancelled,Amazon Logistics
ORD0083,10/28/2023,10/30/2023,,CUST021,PROD005,South,27,4,108,PayPal,Delivered,USPS
ORD0084,12/22/2023,,,CUST015,PROD022,South,65,2,130,PayPal,In Transit,DHL
ORD0085,3/7/2023,,,CUST045,PROD019,East,43,5,215,Debit Card,In Transit,DHL
ORD0086,11/10/2023,,,CUST007,PROD016,West,210,1,210,PayPal,In Transit,UPS
ORD0087,11/22/2023,,,CUST043,PROD021,South,37,3,111,Credit Card,In Transit,UPS
ORD0088,5/8/2023,,,CUST007,PROD001,South,788,4,3152,Debit Card,In Transit,Amazon Logistics
ORD0089,7/13/2023,,,CUST007,PROD016,West,217,5,1085,Debit Card,In Transit,FedEx
ORD0090,1/18/2023,,,CUST007,PROD003,West,138,4,552,Credit Card,In Transit,FedEx
ORD0091,6/23/2023,6/29/2023,,CUST031,PROD001,Central,803,2,1606,Apple Pay,Delivered,FedEx
ORD0092,2/21/2023,,2/25/2023,CUST013,PROD014,North,248,5,1240,PayPal,Cancelled,UPS
ORD0093,2/19/2023,2/21/2023,,CUST036,PROD016,East,210,3,630,Apple Pay,Delivered,DHL
ORD0094,12/5/2023,,12/12/2023,CUST013,PROD004,North,62,2,124,Credit Card,Cancelled,FedEx
ORD0095,6/7/2023,,6/12/2023,CUST043,PROD009,South,11,5,55,Debit Card,Cancelled,Amazon Logistics
ORD0096,7/9/2023,7/12/2023,,CUST017,PROD015,North,21,2,42,Amazon Pay,Delivered,UPS
ORD0097,12/23/2023,12/26/2023,,CUST023,PROD018,West,95,5,475,Amazon Pay,Delivered,Amazon Logistics
ORD0098,9/25/2023,9/30/2023,,CUST044,PROD016,South,215,2,430,PayPal,Delivered,Amazon Logistics
ORD0099,1/18/2023,,1/24/2023,CUST034,PROD019,West,43,5,215,Credit Card,Cancelled,UPS
ORD0100,3/27/2023,,,CUST009,PROD002,West,42,4,168,Debit Card,In Transit,DHL
